creative_id,account,creative_name,title,body,link_url,cta_type,image_url,thumbnail_url
6246109926083,ACC1,Order NOW & pay in 2022. 2021-05-27-034754406cc13c0b39cc03cad422bca4,Order NOW & pay in 2022.,"Are your windows screaming ‘replacement’ but don’t know where to start?

Our windows do more than just beautify your home. The windows we install are made for the prairie climate, improve energy efficiency & even increase the value of your home.

We offer a non prorated,  25 year warranty and is fully transferable. 

Find your perfect windows today!",,GET_OFFER,https://scontent-fra5-1.xx.fbcdn.net/v/t45.1600-4/560405162_24922759807341250_8594562389322385669_n.png?stp=dst-jpg_tt6&_nc_cat=102&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=KIRuCCPFUSUQ7kNvwE72xdU&_nc_oc=Adqgn9BN5gVeLFyvk5oihTrlI1CVwF8_9RQv06-xEz51kqcOv0bLHFvSSpmXJaeCIB7F0MZDaAQZ5tjaDftj_LP0&_nc_zt=1&_nc_ht=scontent-fra5-1.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQGu-uxtVsOCPXIo61u429F9OvaFrDS6wYvAGpR-l1BLmfnasNGfUIPKHj4Nasr2OXKfw7NKxmMA8g&oh=00_Af0ePg4cWb1fIMw-75VDCOzUsK2cHV6PAL0JZurOuUd4Vg&oe=69DA7C3A,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/3585440888642404261?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQKe_R9bZzwMHl60DVfoCSJO6h-LG_z5N9dx_WQTIYYAtlzNqaBQViMKBbYWZfjM8QbgdAIrGaySc2a3KTHiPNisi9kOpG4rq0At14Zn_WM4v8yZfnfrG60ejdugEZxPU_-XoAG5QvzyGxTEEHdzRwo2&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=AdqGTNkxlRSVXeBFvrXZeVWEmk3vjwxud8JNoJoMe_e9EB0nzxRm2sC388of0iGVeM-JtUk7wo6dbLKdmEaqL3yT&ccb=13-1&oh=06_Q3-9ATCFL7iyoSr1BuHKCZiXJt8oQy9oUIsVQ_-wjDRbFAn_&oe=69D68374&_nc_sid=58080a
6246109919683,ACC1,Ask about our special financing options. 2021-05-27-2faefafd321f050f4de63bf4b6b331b3,Ask about our special financing options.,"Why choose Ecoline Windows?

🔺 We stand by our windows, with our 25 years, prorated, transferable warranty.
🔺 We are a TOP RATED contractor on BBB, TRUSTEDPROS & HomeStars.
🔺 We only carry ENERGY STAR RATED  windows that are manufactured in Canada.
🔺 We offer EXPERT installation & window replacement services.

Get a FREE quote today!",,GET_OFFER,https://scontent-fra5-2.xx.fbcdn.net/v/t45.1600-4/557824730_24686632611004671_2146131681270783926_n.png?stp=dst-jpg_tt6&_nc_cat=106&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=Dq3y0dfvsWYQ7kNvwGTvSKK&_nc_oc=AdoRwCewSGq86ALtkCgT9HYlNZjcOZL6AFneM8H59fVmOhBLrxQy3h8-IK-x_jtGGm-FK8WZByxP5UNaBWwGq4tJ&_nc_zt=1&_nc_ht=scontent-fra5-2.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQGBzfpjroAxsn_Oj-EW-sYn_UbnrMB9ja1SamjI5p8rjnBL_AQBEslAaASHIDFLb8vtnZr1LwDGuw&oh=00_Af0Qj_ceAMxDwCJUkqQ3VvynmKfpSC7xvEcBfEQjw_GTTw&oe=69DA7CE8,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/2418166653827208401?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJ0gi1D0iAGibB-_-qUe3OyD1pI0gxrnY_57zpuHZV1aDmzLb_n1Vqjuw3pECIo-F3jp3460YEMIGrs4i4W_ixzUpEET_07Cq1aoGLVLlAlS7RuSMFBzOKav6TiwXwinFyINiATCp9ga3obVJ63ABH7&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=AdrBe7ZTptPhH420kXs3vqi654zFrmuY7ORu-b6NHB-mm08pZT3ICzN-arRNiJWd6ISWtYSQWaazP9im1hlZjLrz&ccb=13-1&oh=06_Q3-9AZEzVxzE0sTSVLGHmtC7gEhWFN5e8F94iTfMKE4AjSa1&oe=69D69CB9&_nc_sid=58080a
6246109917883,ACC1,Ask about our special financing options. 2021-05-27-08320627abd4278bb6c57d04630687e3,Ask about our special financing options.,"Why choose Ecoline Windows?

🔺 We stand by our windows, with our 25 years, prorated, transferable warranty.
🔺 We are a TOP RATED contractor on BBB, TRUSTEDPROS & HomeStars.
🔺 We only carry ENERGY STAR RATED  windows that are manufactured in Canada.
🔺 We offer EXPERT installation & window replacement services.

Get a FREE quote today!",,GET_OFFER,https://scontent-fra3-1.xx.fbcdn.net/v/t45.1600-4/560085358_24898061739825131_5477808443352428761_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=nPVZsGaz7vYQ7kNvwG1Dlu6&_nc_oc=AdohV0aHH7OOkwU_aVwkE-v0ElYgIdtDk-9IQerKRHc6qzkYkULU3ulAY5d6uQIekPn18sOSk0MzKNxHcnM2_gWz&_nc_zt=1&_nc_ht=scontent-fra3-1.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQF2jVkWwgqBMGyOJuAcwRyop8LVcug0-Si6O5p6sRL1SJw19piXnQNMTH1PIYvyIq-CAbLQgp5hFg&oh=00_Af0qD-ZUlOc0BIgte10vc2sKLf1JLRPgU927irbEw6kCaw&oe=69DA8DD9,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/8931902015177524519?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQKI9BoJIDUot80Rd8IVNqx9YQOOCfkD4GkpJZ8un8YQS8iF93hTI_IMENdis9q7i0MPiZ986e1gd2t1AOQkjIwONOMCzbKiEFrjN_3jyWvBFHdg1ymndpizwP0GR3Kjfa0Rkhxxdddx3nqdNEfDFGDn&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=AdrfYDOjnXY3EaEPQb64PIgpZxrhd7o-T0rjNlvnhNLGxRCkpvkqbdGDLwoXJVQsu-hcnK4_eewjSLbAbGQApgm5&ccb=13-1&oh=06_Q3-9AWvrB51AkKI09XHE-nF0jBBwprt2uQ_0ibs2ATHMuDuB&oe=69D6A2A8&_nc_sid=58080a
6246109902083,ACC1,Ask about our special financing options. 2021-05-27-3a53eba77109084b7ee2a24372336d8c,Ask about our special financing options.,"Why choose Ecoline Windows?

🔺 We stand by our windows, with our 25 years, prorated, transferable warranty.
🔺 We are a TOP RATED contractor on BBB, TRUSTEDPROS & HomeStars.
🔺 We only carry ENERGY STAR RATED  windows that are manufactured in Canada.
🔺 We offer EXPERT installation & window replacement services.

Get a FREE quote today!",,GET_OFFER,https://scontent-fra3-1.xx.fbcdn.net/v/t45.1600-4/561299283_25403003002635215_3560682469750297616_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=QFoUUm0NpDkQ7kNvwFkPGin&_nc_oc=Adr_S7xKfBmOeuJ1o-sPYhzwcrijmHFxknLmwHqWyMPQqbbSBiil5eS3O862lg61JRQxXFN1w2gX7zivaoQFmHlR&_nc_zt=1&_nc_ht=scontent-fra3-1.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQFxbZE_p0iAfZN2YQYErdyidpjG9czoxlPNRyQNQdgULY23Q8znGP7QQ7W5I-0RiB9jbEpennXYIA&oh=00_Af0o4qY3SrT7PwVIPmJshOq2MK066AZ5O9-HQ4DYyNukHA&oe=69DA7AA8,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/14264928265505228017?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLH2VJO9gEAGsB7o9iZh5zP-BtAgsEMqYXatosWQ0XoaT5pTrkkZMgIpxU6leak_f_Vubh0-pcK1joCc5z5J3MnGBKqA-dd9GeKRAiyXCyM2kgdS_Mqvx_YxPBbnZZZnqN2SqfZHGKIuu7DCtep22NV&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=Ado0GKN4ruML_s0SB_TVkhynHM0VykRoODItcGHHXAA3VyZaAL4uqaHZeabcaESP_hLldeAF0wk6fdqYFNxDrk6t&ccb=13-1&oh=06_Q3-9AVRvJ0C7tKtqyrYgx1MdvuMBWDqMHIXeHwC5lW1bmfUU&oe=69D678D6&_nc_sid=58080a
6246109901483,ACC1,Ask about our special financing options. 2021-05-27-521aeabfe36d18ce87768c820387fc1d,Ask about our special financing options.,"Why choose Ecoline Windows?

🔺 We stand by our windows, with our 25 years, prorated, transferable warranty.
🔺 We are a TOP RATED contractor on BBB, TRUSTEDPROS & HomeStars.
🔺 We only carry ENERGY STAR RATED  windows that are manufactured in Canada.
🔺 We offer EXPERT installation & window replacement services.

Get a FREE quote today!",,GET_OFFER,https://scontent-fra5-2.xx.fbcdn.net/v/t45.1600-4/564397006_24609415592061349_8655601236375543739_n.png?stp=dst-jpg_tt6&_nc_cat=106&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=-jgCrBzvuSQQ7kNvwH145qq&_nc_oc=AdpRQMX-jlV6cDgoxINevdYs85CmIbSEaF9ogAwjOtuv2af9z6M5Pvx2-KoXnbdQ2mWo0a0aK5o3BcnIj_Ln2iuD&_nc_zt=1&_nc_ht=scontent-fra5-2.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQHEb13fcd3ePXu1vMxB5VT2bwy0pmvFZP_Wrun_XJ62nrDvwBArzBcguoqAaSvAizrvwusK-9fuSA&oh=00_Af2EmTMu6WpmoLjiHWpqmXLOHgpDxkO8jMBtvCFteYVGcg&oe=69DA7AD6,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/7606921048179023818?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQIIfmABLFpUFITGUb0EXTQ0tji0BpH2sQaxeMqfl2mULTA0ZMHwAU6H8owZuJPY1gWy1MVSDv7PJT4eQvVax4mpkKA_gAbpbIXOLrFmkfg19CS879x8ZyWVplCOalXw7qdXPNabP5nkIyZkrxN8yej3&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=AdpqPy854OdCO25yDald1QkQbo1ihHocm6yZsVhjD3HgLYoGFblTvCBhexKLGyvBkupotK7WWUEbKrQO27hLjM5Q&ccb=13-1&oh=06_Q3-9AU11GvrpN_dzsm7OU2Xjscw6ir16zGLgZxQtumWOzI78&oe=69D699B4&_nc_sid=58080a
6246109896083,ACC1,Order NOW & pay in 2022. 2021-05-27-f6af2312e7fa8a39cb2c25d1abce60b8,Order NOW & pay in 2022.,"Are your windows screaming ‘replacement’ but don’t know where to start?

Our windows do more than just beautify your home. The windows we install are made for the prairie climate, improve energy efficiency & even increase the value of your home.

We offer a non prorated,  25 year warranty and is fully transferable. 

Find your perfect windows today!",,GET_OFFER,https://scontent-fra5-2.xx.fbcdn.net/v/t45.1600-4/562959000_24745426691816984_2264152862348246314_n.png?stp=dst-jpg_tt6&_nc_cat=107&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=PtRWVnsCgxoQ7kNvwEekWWa&_nc_oc=AdpXSYY_Hm6p7hEwJbTY8tGGMNShNtGhrNTzc0cclyWP6pr2JSyU5oBQjt2PO8yow_1ZrEmFG3T6C3tB303yR68H&_nc_zt=1&_nc_ht=scontent-fra5-2.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQGE3YlRskrJrc3LmoZdITqTAbDqjO9i2py3tJTV75QA8Ds_V8Bo3WSs24oDdSkoYgXWmy-Y00GoDQ&oh=00_Af3w0lZ8k5mDjJkl_JLxpbhqkIdL6_IXBM9bupbS83A3TQ&oe=69DA7920,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/4049396497240427801?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJ5qwWkKyDjfXyH8RcHsxWbgunWP6cTba0pgF1-FCxhkjsLyd2gLS4JEi5G44vNzjXMZweMy3gNPf6vaNLnAq23MFJ7RDuejMF4nOleRSiu52tzbCAR_5eTiVZVwH8ZokSmC5FpXQ6qmRLXUpkDGe1Q&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=AdrCl5_qCXsMZ09ZKXCXwD5Jx2hL5X5Wu2oi3EQHKMiK9Nmua_6jxVZn052PLSycVpzi9j1lwFS7SzeCqtb7FwuX&ccb=13-1&oh=06_Q3-9AVNYsbzQm8oBHRwXzKOgr1Wvu_mt71mXXJLnK1F3jJUf&oe=69D677AE&_nc_sid=58080a
6246109895483,ACC1,Order NOW & pay in 2022. 2021-05-27-af5b209d5b3843aacd402a6c490aa464,Order NOW & pay in 2022.,"Are your windows screaming ‘replacement’ but don’t know where to start?

Our windows do more than just beautify your home. The windows we install are made for the prairie climate, improve energy efficiency & even increase the value of your home.

We offer a non prorated,  25 year warranty and is fully transferable. 

Find your perfect windows today!",,GET_OFFER,https://scontent-fra3-1.xx.fbcdn.net/v/t45.1600-4/558968414_24489655870707049_3515577012349005586_n.png?stp=dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=dvJtcLuTLZ0Q7kNvwFE8z9s&_nc_oc=Adol_Kj3KU3cw1nux7hsnDt3TaeesKOtj69OcU4QW-MazTA39R6gBj71zXxpsLx8RKzlmaHJvbFeGw1GsKnI2X2X&_nc_zt=1&_nc_ht=scontent-fra3-1.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQGZnpV-8pSInOQdZ0i9WhT7EAwEcn0KEIjtQjL7F7RvtRyvDEMRHEyNLsvBes-C6CEMBUt0notQ4g&oh=00_Af1vLodklwnjnWfkincIdzKrLMPFmsUjgGsukfFvo26A1A&oe=69DA6766,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/5164088806356184314?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQKUkOw3QkI6-2Nq59Fg1PUEsiQXIafHWt4582_kcmSVXNCHx4xk-3THMokDYoTptWkvv4vqEq4Rm4jwbzqL1TpLJu1R_blnOeOwFTB7IN6C0qXu8HUSS7tpofSc2pkQST4FY-gHU5bj1WlpIT5mk8Oq&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=Adr-ieOu8oyHLwJh9ecYrIZSmKwLOukkE6agBITnzu77VdzUpGlgeUXOG5-PaX9E54jKn_JtZBxsxYlP88shEqIL&ccb=13-1&oh=06_Q3-9AYmTK9sr13rAqpm2CfIKT0wiYqm89NSqUUXO0DZ9oEst&oe=69D6A33C&_nc_sid=58080a
6246109866683,ACC1,Ask about our special financing options. 2021-05-27-b4e2e21d76428687e3963baf250b38d1,Ask about our special financing options.,"Why choose Ecoline Windows?

🔺 We stand by our windows, with our 25 years, prorated, transferable warranty.
🔺 We are a TOP RATED contractor on BBB, TRUSTEDPROS & HomeStars.
🔺 We only carry ENERGY STAR RATED  windows that are manufactured in Canada.
🔺 We offer EXPERT installation & window replacement services.

Get a FREE quote today!",,GET_OFFER,https://scontent-fra3-1.xx.fbcdn.net/v/t45.1600-4/561299283_25403003002635215_3560682469750297616_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=QFoUUm0NpDkQ7kNvwFkPGin&_nc_oc=Adr_S7xKfBmOeuJ1o-sPYhzwcrijmHFxknLmwHqWyMPQqbbSBiil5eS3O862lg61JRQxXFN1w2gX7zivaoQFmHlR&_nc_zt=1&_nc_ht=scontent-fra3-1.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQFxbZE_p0iAfZN2YQYErdyidpjG9czoxlPNRyQNQdgULY23Q8znGP7QQ7W5I-0RiB9jbEpennXYIA&oh=00_Af0o4qY3SrT7PwVIPmJshOq2MK066AZ5O9-HQ4DYyNukHA&oe=69DA7AA8,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/8872968194839808031?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQKBE9DJ-XM7MXEaC5B6mhSm5NIVxw_6Linv3ixYqRl3ppVbh3SPK960tait4YCJOjhUjq6pid4rx5rOg8IRVkXgYTXtMY5P-KZL6sihr8y4xFjkskFFOEYFvBbTj7GFp21IN37vShSquOyCGJlRpPVh&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=AdpDG4NcqVp4cgLQkdwcv4Eb90qoPdjyFx6-gxbUaeDWBmCzJSnfymVglIuN70tJOUW6JG168sTeqXxnBbQNBHyx&ccb=13-1&oh=06_Q3-9AY3cDbVTftFYfPI0CxcLNzSVPzYJAmdqzjj_KxPYdyv5&oe=69D6765F&_nc_sid=58080a
6246109866283,ACC1,Ask about our special financing options. 2021-05-27-9af01bfe3abd53b393fe410505e89092,Ask about our special financing options.,"Why choose Ecoline Windows?

🔺 We stand by our windows, with our 25 years, prorated, transferable warranty.
🔺 We are a TOP RATED contractor on BBB, TRUSTEDPROS & HomeStars.
🔺 We only carry ENERGY STAR RATED  windows that are manufactured in Canada.
🔺 We offer EXPERT installation & window replacement services.

Get a FREE quote today!",,GET_OFFER,https://scontent-fra5-2.xx.fbcdn.net/v/t45.1600-4/564397006_24609415592061349_8655601236375543739_n.png?stp=dst-jpg_tt6&_nc_cat=106&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=-jgCrBzvuSQQ7kNvwH145qq&_nc_oc=AdpRQMX-jlV6cDgoxINevdYs85CmIbSEaF9ogAwjOtuv2af9z6M5Pvx2-KoXnbdQ2mWo0a0aK5o3BcnIj_Ln2iuD&_nc_zt=1&_nc_ht=scontent-fra5-2.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQHEb13fcd3ePXu1vMxB5VT2bwy0pmvFZP_Wrun_XJ62nrDvwBArzBcguoqAaSvAizrvwusK-9fuSA&oh=00_Af2EmTMu6WpmoLjiHWpqmXLOHgpDxkO8jMBtvCFteYVGcg&oe=69DA7AD6,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/2034648513872580374?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQIwel3ycnQuHna_1UBnXQH7tVT6Zp0iQueeu6YGImvk5xqmkbbugv9lMCikj4rtn5rMjsOuH31FyYmOQnvMykmjoFd5QY5c1F20c9v1QdRl2rgCJrt6AfCJfUIenlvvPIrYZCl0egqF6AoUQQtir8gq&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=Adogcz6wafkP1lgIZ90b__1NQLSx7OVmy-_xszi9MNKKGKPfUPg2Qs3cPYyufmVNHxp9INOpbKLExndwdAhhnDyG&ccb=13-1&oh=06_Q3-9Af_HdtPharbGHxrqbifGG_oj31prD44a4sm7ZDmaTzqq&oe=69D6855D&_nc_sid=58080a
6246109865083,ACC1,Order NOW & pay in 2022. 2021-05-27-54c86402fae8b9cd8554f2039cb51f72,Order NOW & pay in 2022.,"Are your windows screaming ‘replacement’ but don’t know where to start?

Our windows do more than just beautify your home. The windows we install are made for the prairie climate, improve energy efficiency & even increase the value of your home.

We offer a non prorated,  25 year warranty and is fully transferable. 

Find your perfect windows today!",,GET_OFFER,https://scontent-fra5-1.xx.fbcdn.net/v/t45.1600-4/560608846_24931475579873464_4488126400927088862_n.png?stp=dst-jpg_tt6&_nc_cat=100&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=PB2ErJkReT0Q7kNvwEJucdt&_nc_oc=AdrUHE3TUJt4y5zKFpeFecP7_nNt67pThLCu0BnQb7HZ_vABdtDAfYmLk4qaO0HIIrsAtZmu3teumI8DuQWpJVGh&_nc_zt=1&_nc_ht=scontent-fra5-1.xx&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_tpa=Q5bMBQF-H7XviXrWyNWVxTCHs7OkW9bPJeYJsNvD7hX7bkGbVjW0EmkekQqrTaWnBQKxgaht2uN6kYNhjw&oh=00_Af2u2AHZW6IkgdFfh9Ue7rtx-6zcsqZKqz5YnzOnUgKkgA&oe=69DA7C8C,https://external-fra3-1.xx.fbcdn.net/emg1/v/t13/2056638766784591875?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJ5qWFSNvwta_MTWpM_X9KASUDWbd1Hi6hdjW6GjgzLAgFwwCTRDAAHLxV988F0gCMmS60yavE1EY9Z4bdsaVHCPaGp9Sp1EKzdWMdgqIx2wG4QhvWswlw516j7PVyXds6qhW3ZXgnToa7bXNIFecvT&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=Gd88jrY5e8VHv1PblO9b-g&_nc_oc=AdrpcRG_vJABIiyLKC7_DKy-x90W1TdRqiUyn3kTI4d347HOpEZCAi-VAWm1TaTWAay8ILqIphYUfMvIOn0MR4qL&ccb=13-1&oh=06_Q3-9AS10uGTsyBNSbDFryJfLD-4uYedm1mm2uRxxpyrU69xo&oe=69D6740B&_nc_sid=58080a
