ad_id,ad_name,account,publisher_platform,platform_position,spend,impressions,clicks,link_clicks,landing_page_views
6286157159283,video_ 1,ACC1,audience_network,an_classic,354.988388,49825,50,51,33
6286157159283,video_ 1,ACC1,facebook,facebook_reels,0.659923,271,0,,
6286157159283,video_ 1,ACC1,facebook,facebook_stories,0.239972,18,0,,
6286157159283,video_ 1,ACC1,facebook,feed,0.569933,258,1,,3
6286157159283,video_ 1,ACC1,facebook,instream_video,9.258915,702,1,1,1
6286157159283,video_ 1,ACC1,facebook,marketplace,95.128849,52637,10,10,8
6286157159283,video_ 1,ACC1,facebook,search,31.576299,35038,17,15,10
6286157159283,video_ 1,ACC1,facebook,video_feeds,0.329961,89,0,,
6286157159283,video_ 1,ACC1,instagram,feed,0.479944,93,0,,
6286157159283,video_ 1,ACC1,instagram,instagram_explore,0.029996,14,0,,
6286157159283,video_ 1,ACC1,instagram,instagram_reels,0.529938,241,0,,
6286157159283,video_ 1,ACC1,instagram,instagram_stories,18.067882,953,1,1,3
6286192455683,video_ 2,ACC1,audience_network,an_classic,474.798578,77382,78,84,63
6286192455683,video_ 2,ACC1,facebook,facebook_reels,0.9199,349,0,,
6286192455683,video_ 2,ACC1,facebook,facebook_stories,0.319965,27,0,,
6286192455683,video_ 2,ACC1,facebook,feed,13.93849,5828,13,5,3
6286192455683,video_ 2,ACC1,facebook,instream_video,41.635491,2777,6,7,1
6286192455683,video_ 2,ACC1,facebook,marketplace,218.566328,135852,64,61,41
6286192455683,video_ 2,ACC1,facebook,search,433.293073,246537,298,300,146
6286192455683,video_ 2,ACC1,facebook,video_feeds,1.129878,487,2,1,1
6286192455683,video_ 2,ACC1,instagram,feed,0.389958,97,0,,
6286192455683,video_ 2,ACC1,instagram,instagram_explore,7.249215,2478,0,,
6286192455683,video_ 2,ACC1,instagram,instagram_reels,1.409847,565,2,,
6286192455683,video_ 2,ACC1,instagram,instagram_stories,6.669278,345,1,,
6286192455683,video_ 2,ACC1,messenger,messenger_stories,0.009999,2,0,,
6286193506283,video_ 2,ACC1,audience_network,an_classic,47.99718,6570,7,7,3
6286193506283,video_ 2,ACC1,audience_network,rewarded_video,557.217267,28356,59,61,36
6286193506283,video_ 2,ACC1,facebook,facebook_reels,1.249927,354,0,,
6286193506283,video_ 2,ACC1,facebook,facebook_stories,0.33998,16,0,,
6286193506283,video_ 2,ACC1,facebook,feed,7.559556,2001,2,1,1
6286193506283,video_ 2,ACC1,facebook,instream_video,290.642926,17534,81,80,93
6286193506283,video_ 2,ACC1,facebook,marketplace,292.272831,102962,42,34,19
6286193506283,video_ 2,ACC1,facebook,search,86.964891,43113,52,52,37
